,NO2 (ppb),O3 (ppb),Humidity (%),Temp (C),windspeed,direction,wind direction
2022-06-09 21:00:00,29.81,16.07,85.53,20.38,1.01,271.55,W
2022-06-09 22:00:00,21.89,17.24,87.35,20.55,0.95,192.92,S
2022-06-09 23:00:00,23.97,10.25,87.35,20.48,0.75,254.52,W
2022-06-10 00:00:00,23.95,6.04,87.95,20.23,0.48,183.92,CALM
2022-06-10 01:00:00,17.42,12.42,87.58,20.33,0.22,165.55,CALM
2022-06-10 02:00:00,7.47,24.17,83.4,20.1,0.23,275.02,CALM
2022-06-10 03:00:00,8.15,24.02,78.45,19.8,0.61,157.32,SE
2022-06-10 04:00:00,22.75,17.17,80.48,19.85,4.41,216.78,SW
2022-06-10 05:00:00,25.79,13.84,82.0,21.15,1.26,206.6,SW
2022-06-10 06:00:00,23.07,15.47,77.78,22.78,0.5,109.4,E
2022-06-10 07:00:00,25.7,15.72,77.15,22.53,1.15,76.95,E
2022-06-10 08:00:00,31.53,20.0,81.7,21.4,1.44,77.65,E
2022-06-10 09:00:00,37.06,18.7,86.38,20.08,1.4,105.42,E
2022-06-10 10:00:00,39.08,17.45,86.9,20.48,2.16,99.03,E
2022-06-10 11:00:00,45.13,15.93,86.58,20.73,1.45,152.88,SE
2022-06-10 12:00:00,46.77,12.45,88.03,20.6,1.39,97.93,E
2022-06-10 13:00:00,30.54,13.9,87.85,20.98,0.86,189.05,S
2022-06-10 14:00:00,24.1,14.46,86.93,21.23,0.95,157.5,SE
2022-06-10 15:00:00,15.86,15.17,84.53,22.43,1.94,120.73,SE
2022-06-10 16:00:00,18.7,14.89,81.08,23.15,2.24,126.98,SE
2022-06-10 17:00:00,9.3,20.06,75.38,23.7,1.59,149.95,SE
2022-06-10 18:00:00,7.27,27.2,72.4,22.85,2.15,142.75,SE
2022-06-10 19:00:00,17.87,21.49,73.1,22.1,1.52,163.3,S
2022-06-10 20:00:00,16.4,21.63,74.68,21.68,2.73,250.38,W
2022-06-10 21:00:00,24.88,18.11,76.08,21.25,0.97,210.83,SW
2022-06-10 22:00:00,31.69,12.56,80.3,20.45,0.94,159.08,S
2022-06-10 23:00:00,17.92,19.38,80.75,20.28,1.09,232.62,SW
2022-06-11 00:00:00,12.84,21.67,79.53,20.53,0.66,243.03,SW
2022-06-11 01:00:00,11.36,19.19,79.9,20.48,1.01,232.65,SW
2022-06-11 02:00:00,10.92,18.89,79.8,20.08,0.64,146.65,SE
2022-06-11 03:00:00,10.86,22.11,80.7,20.13,1.04,185.63,S
2022-06-11 04:00:00,12.02,19.48,80.75,20.25,1.45,205.4,SW
2022-06-11 05:00:00,10.76,23.93,80.15,20.3,4.61,213.72,SW
2022-06-11 06:00:00,11.85,24.62,78.23,20.4,2.15,165.62,S
2022-06-11 07:00:00,10.73,25.7,75.85,20.88,3.27,239.78,SW
2022-06-11 08:00:00,7.08,27.53,71.0,22.05,1.25,158.07,S
2022-06-11 09:00:00,7.52,25.41,66.18,23.83,1.63,180.32,S
2022-06-11 10:00:00,8.12,31.36,62.33,25.13,2.61,225.15,SW
2022-06-11 11:00:00,11.09,29.24,62.55,24.8,2.65,207.63,SW
2022-06-11 12:00:00,7.61,31.99,53.78,27.3,2.13,137.85,SE
2022-06-11 13:00:00,8.57,38.94,52.83,27.9,1.88,158.87,S
2022-06-11 14:00:00,13.62,37.33,53.95,27.75,3.55,209.67,SW
2022-06-11 15:00:00,18.53,38.45,58.55,27.55,5.26,237.58,SW
2022-06-11 16:00:00,20.62,35.69,59.1,26.93,3.01,167.85,S
2022-06-11 17:00:00,21.74,32.59,59.28,26.33,4.72,114.63,SE
2022-06-11 18:00:00,27.83,31.81,65.45,25.1,2.66,134.72,SE
2022-06-11 19:00:00,27.23,26.39,70.48,23.68,1.84,219.08,SW
2022-06-11 20:00:00,29.63,19.24,71.9,23.23,2.47,105.43,E
2022-06-11 21:00:00,21.17,21.88,69.7,23.25,0.94,128.55,SE
2022-06-11 22:00:00,17.24,20.96,68.58,23.0,0.4,177.25,CALM
2022-06-11 23:00:00,11.01,25.35,66.08,22.78,1.61,120.13,SE
2022-06-12 00:00:00,7.95,28.67,66.3,22.4,0.6,178.82,S
2022-06-12 01:00:00,9.67,27.08,68.05,21.85,1.64,200.4,S
2022-06-12 02:00:00,8.94,28.27,67.73,21.73,3.23,213.03,SW
2022-06-12 03:00:00,8.94,28.59,66.83,21.78,1.38,206.97,SW
2022-06-12 04:00:00,12.29,26.5,67.18,21.53,3.84,217.0,SW
2022-06-12 05:00:00,16.86,24.15,67.7,21.58,1.74,178.57,S
2022-06-12 06:00:00,14.21,24.07,65.55,22.8,0.75,169.1,S
2022-06-12 07:00:00,10.6,27.12,61.75,24.18,2.45,136.0,SE
2022-06-12 08:00:00,8.59,27.99,56.45,26.33,1.76,185.18,S
2022-06-12 09:00:00,9.52,32.11,52.9,27.33,1.9,175.9,S
2022-06-12 10:00:00,9.72,35.54,52.1,27.6,2.72,205.52,SW
2022-06-12 11:00:00,10.98,34.86,50.68,28.2,2.79,206.98,SW
2022-06-12 12:00:00,11.32,36.18,48.73,29.28,2.58,200.85,S
2022-06-12 13:00:00,10.49,39.06,46.13,29.75,2.33,186.43,S
2022-06-12 14:00:00,11.21,38.52,44.0,30.0,2.37,184.8,S
2022-06-12 15:00:00,11.36,41.58,43.6,30.45,2.92,179.42,S
2022-06-12 16:00:00,21.31,43.47,48.03,28.68,1.9,190.1,S
2022-06-12 17:00:00,26.34,36.87,51.6,27.73,2.83,194.72,S
2022-06-12 18:00:00,23.98,35.56,52.28,27.08,2.95,219.87,SW
2022-06-12 19:00:00,26.92,31.76,53.75,26.25,2.16,217.92,SW
2022-06-12 20:00:00,25.63,29.74,58.33,25.4,2.94,224.72,SW
2022-06-12 21:00:00,21.2,30.34,59.95,24.73,1.89,212.73,SW
2022-06-12 22:00:00,20.1,28.85,60.88,24.35,2.64,213.47,SW
2022-06-12 23:00:00,19.17,28.25,62.4,24.05,4.82,218.1,SW
2022-06-13 00:00:00,16.61,27.91,62.85,23.8,4.34,218.45,SW
2022-06-13 01:00:00,15.4,26.1,62.93,23.6,4.77,219.03,SW
2022-06-13 02:00:00,10.42,28.65,62.23,23.35,3.55,223.53,SW
2022-06-13 03:00:00,10.66,29.93,61.48,23.28,0.65,224.62,SW
2022-06-13 04:00:00,12.56,29.57,60.5,23.2,1.91,212.87,SW
2022-06-13 05:00:00,19.71,25.01,60.83,23.3,1.75,219.08,SW
2022-06-13 06:00:00,14.02,27.33,59.58,24.0,2.68,213.38,SW
2022-06-13 07:00:00,11.29,26.95,55.6,26.25,1.41,71.53,E
2022-06-13 08:00:00,11.07,29.65,53.18,26.93,1.44,116.72,SE
2022-06-13 09:00:00,15.38,27.67,48.73,28.63,1.61,166.73,S
2022-06-13 10:00:00,10.66,32.97,42.48,31.4,1.5,190.6,S
2022-06-13 11:00:00,13.53,54.05,41.4,31.98,1.79,198.07,S
2022-06-13 12:00:00,22.97,59.15,45.78,31.3,2.02,138.0,SE
2022-06-13 13:00:00,24.8,53.36,45.7,31.93,5.35,74.12,E
2022-06-13 14:00:00,25.44,57.53,42.05,32.63,5.03,76.47,E
2022-06-13 15:00:00,25.98,61.03,43.23,31.73,3.39,71.62,E
2022-06-13 16:00:00,29.24,62.11,47.88,29.38,3.51,74.15,E
2022-06-13 17:00:00,79.56,38.48,69.05,24.53,2.78,80.0,E
2022-06-13 18:00:00,97.95,14.34,73.78,24.68,3.53,202.28,S
2022-06-13 19:00:00,82.95,8.82,72.78,24.15,1.33,236.88,SW
2022-06-13 20:00:00,41.24,12.24,65.0,24.3,0.77,251.3,W
2022-06-13 21:00:00,29.04,19.07,57.93,24.83,0.77,259.78,W
2022-06-13 22:00:00,27.33,18.87,60.78,24.05,0.72,224.73,SW
2022-06-13 23:00:00,21.25,24.5,61.48,23.6,0.59,169.3,S
2022-06-14 00:00:00,25.71,19.3,64.55,22.93,0.61,267.7,W
2022-06-14 01:00:00,22.32,20.46,65.43,22.6,1.35,200.7,S
2022-06-14 02:00:00,27.34,15.24,68.98,22.35,0.68,241.08,SW
2022-06-14 03:00:00,36.0,10.13,71.25,21.95,0.68,162.27,S
2022-06-14 04:00:00,47.08,7.5,71.1,21.63,0.63,218.65,SW
2022-06-14 05:00:00,48.14,3.9,71.73,22.45,0.34,229.23,CALM
2022-06-14 06:00:00,33.15,4.51,65.4,25.33,0.55,242.35,SW
2022-06-14 07:00:00,30.1,6.76,55.68,28.9,1.14,267.15,W
2022-06-14 08:00:00,15.12,25.54,46.78,31.18,1.16,249.62,W
2022-06-14 09:00:00,11.72,42.69,42.0,32.33,1.23,112.77,SE
2022-06-14 10:00:00,20.42,49.0,40.35,32.5,2.5,62.78,NE
2022-06-14 11:00:00,18.28,55.28,38.7,33.8,3.85,79.97,E
2022-06-14 12:00:00,33.4,52.69,42.78,31.95,4.13,57.35,NE
2022-06-14 13:00:00,65.69,50.36,58.63,27.6,4.53,50.68,NE
2022-06-14 14:00:00,49.98,51.8,68.45,23.15,2.54,94.13,E
2022-06-14 15:00:00,73.36,30.21,80.65,20.2,3.38,251.0,W
2022-06-14 16:00:00,53.16,21.69,77.7,22.63,3.55,177.65,S
2022-06-14 17:00:00,58.57,16.55,74.38,24.25,2.51,261.65,W
2022-06-14 18:00:00,68.92,12.26,75.28,23.98,1.85,167.78,S
2022-06-14 19:00:00,69.91,7.49,78.25,23.23,2.03,96.35,E
2022-06-14 20:00:00,62.44,3.54,80.2,22.33,0.95,168.4,S
2022-06-14 21:00:00,44.38,4.58,76.23,22.0,0.8,220.22,SW
2022-06-14 22:00:00,45.87,4.73,77.23,21.85,0.8,246.6,SW
2022-06-14 23:00:00,44.37,5.67,80.03,21.3,0.67,252.38,W
2022-06-15 00:00:00,7.38,21.72,69.73,21.85,0.36,212.71,CALM
2022-06-15 15:00:00,28.4,58.39,43.03,30.25,3.94,69.3,E
2022-06-15 16:00:00,27.4,58.81,44.03,29.83,4.56,60.95,NE
2022-06-15 17:00:00,31.34,57.24,47.3,29.15,4.67,61.43,NE
2022-06-15 18:00:00,35.54,55.0,53.38,27.6,5.16,58.87,NE
2022-06-15 19:00:00,44.5,45.13,58.63,26.18,3.66,132.7,SE
2022-06-15 20:00:00,74.56,22.62,62.55,25.08,3.52,311.57,NW
2022-06-15 21:00:00,72.66,16.75,65.7,24.15,1.86,253.1,W
2022-06-15 22:00:00,49.66,22.98,70.05,23.55,0.56,227.05,SW
2022-06-15 23:00:00,32.2,28.44,71.88,23.2,0.28,262.9,CALM
2022-06-16 00:00:00,34.95,20.25,72.33,22.5,0.55,125.65,SE
2022-06-16 01:00:00,25.01,21.35,72.93,21.95,0.33,105.92,CALM
2022-06-16 02:00:00,29.69,16.26,74.98,21.48,0.45,245.5,CALM
2022-06-16 03:00:00,39.73,11.43,77.78,21.4,0.24,245.0,CALM
2022-06-16 04:00:00,27.35,13.4,79.63,21.68,0.33,245.0,CALM
2022-06-16 05:00:00,28.48,11.7,77.5,22.2,0.28,183.55,CALM
2022-06-16 06:00:00,30.76,12.4,71.13,23.95,0.76,86.68,E
2022-06-16 07:00:00,22.09,20.71,69.38,24.98,0.81,202.55,SW
2022-06-16 08:00:00,23.38,23.03,62.6,27.08,1.64,190.05,S
2022-06-16 09:00:00,9.97,40.7,55.38,28.7,1.73,64.62,NE
2022-06-16 10:00:00,11.54,48.37,54.15,29.2,1.94,70.5,E
2022-06-16 11:00:00,19.34,54.58,55.83,28.43,3.14,64.2,NE
2022-06-16 12:00:00,25.97,46.35,59.15,27.18,3.73,64.43,NE
2022-06-16 13:00:00,27.13,40.69,58.58,26.38,4.06,70.82,E
2022-06-16 14:00:00,21.29,41.53,56.15,27.15,3.68,65.88,NE
2022-06-16 15:00:00,18.06,47.11,52.85,28.03,3.56,236.48,SW
2022-06-16 16:00:00,27.17,45.53,57.43,27.65,3.51,157.02,SE
2022-06-16 17:00:00,27.91,44.78,56.95,27.43,3.97,94.5,E
2022-06-16 18:00:00,42.8,41.38,64.0,26.3,4.31,69.27,E
2022-06-16 19:00:00,46.83,31.77,68.65,25.13,3.96,89.93,E
2022-06-16 20:00:00,43.89,19.59,67.9,24.0,3.01,221.22,SW
2022-06-16 21:00:00,57.19,11.63,65.33,23.08,2.13,288.53,W
2022-06-16 22:00:00,60.21,11.12,70.6,22.45,0.94,235.75,SW
2022-06-16 23:00:00,60.37,8.41,74.28,21.85,0.67,243.02,SW
2022-06-17 00:00:00,41.2,12.02,73.43,21.28,0.95,244.25,SW
2022-06-17 01:00:00,34.77,12.01,76.1,20.78,0.23,238.95,CALM
2022-06-17 02:00:00,29.79,11.85,78.33,20.3,0.81,241.38,SW
2022-06-17 03:00:00,37.78,9.9,80.6,19.85,0.37,253.33,CALM
2022-06-17 04:00:00,49.91,3.54,81.85,19.73,0.38,248.0,CALM
2022-06-17 05:00:00,42.65,0.39,80.53,21.45,0.96,244.88,SW
2022-06-17 06:00:00,31.51,0.07,74.28,24.23,0.41,241.37,CALM
2022-06-17 07:00:00,26.56,11.12,66.6,26.15,1.07,149.85,SE
2022-06-17 08:00:00,14.69,25.68,60.5,27.63,1.27,69.67,E
2022-06-17 09:00:00,12.38,35.57,54.43,28.58,2.26,57.17,NE
2022-06-17 10:00:00,17.71,42.41,55.0,29.2,2.35,68.75,E
2022-06-17 11:00:00,23.69,44.7,55.23,29.28,2.97,67.82,E
2022-06-17 12:00:00,25.76,43.57,58.13,28.98,3.19,65.3,NE
2022-06-17 13:00:00,21.81,40.49,55.0,29.55,3.96,64.0,NE
2022-06-17 14:00:00,25.13,43.75,55.5,29.3,5.21,70.17,E
2022-06-17 15:00:00,22.46,41.94,54.45,29.03,4.2,64.13,NE
2022-06-17 16:00:00,20.25,43.23,52.25,29.13,4.67,63.97,NE
2022-06-17 17:00:00,23.81,42.99,52.6,28.75,5.32,56.93,NE
2022-06-17 18:00:00,28.62,43.12,57.8,27.48,4.52,49.18,NE
2022-06-17 19:00:00,37.21,32.99,61.78,26.2,3.56,61.83,NE
2022-06-17 20:00:00,44.24,27.26,65.35,25.48,3.27,159.75,S
2022-06-17 21:00:00,30.87,43.13,70.75,23.6,1.39,228.23,SW
2022-06-17 22:00:00,36.28,35.25,81.1,20.93,1.95,119.62,SE
2022-06-17 23:00:00,30.15,31.09,82.5,20.03,3.14,140.98,SE
2022-06-18 00:00:00,24.59,30.34,82.55,19.55,1.7,198.68,S
2022-06-18 01:00:00,31.49,22.66,82.48,19.8,2.34,220.65,SW
2022-06-18 02:00:00,23.88,18.22,83.85,19.7,2.42,198.37,S
2022-06-18 03:00:00,31.14,14.63,83.5,19.88,0.71,124.83,SE
2022-06-18 04:00:00,25.31,14.45,81.4,20.15,0.15,155.4,CALM
2022-06-18 05:00:00,19.4,19.43,77.7,20.55,0.01,185.0,CALM
2022-06-18 06:00:00,14.72,22.92,74.58,21.43,0.34,203.58,CALM
2022-06-18 07:00:00,14.18,24.65,70.75,22.3,0.8,202.58,SW
2022-06-18 08:00:00,11.63,27.0,68.5,22.93,0.93,129.05,SE
2022-06-18 09:00:00,14.88,26.16,68.48,23.23,1.88,111.72,E
2022-06-18 10:00:00,12.52,29.96,68.3,23.08,1.53,135.07,SE
2022-06-18 11:00:00,23.8,29.98,72.38,22.38,1.65,173.12,S
2022-06-18 12:00:00,37.2,25.18,78.83,21.28,1.56,207.87,SW
2022-06-18 13:00:00,30.31,20.64,79.53,21.88,1.52,251.32,W
2022-06-18 14:00:00,29.34,20.12,75.2,23.68,1.35,248.4,W
2022-06-18 15:00:00,23.16,25.18,68.03,25.6,0.95,202.87,SW
2022-06-18 16:00:00,14.86,29.87,63.5,26.05,0.9,145.67,SE
2022-06-18 17:00:00,6.3,44.62,61.6,23.85,1.01,139.23,SE
2022-06-18 18:00:00,9.18,41.46,58.78,22.65,1.46,176.2,S
2022-06-18 19:00:00,14.47,37.22,63.98,22.08,8.37,242.53,SW
2022-06-18 20:00:00,28.84,27.15,66.38,21.2,3.6,262.55,W
2022-06-18 21:00:00,23.06,28.52,66.7,20.65,1.71,231.93,SW
2022-06-18 22:00:00,20.76,28.65,66.8,20.6,0.75,187.52,S
2022-06-18 23:00:00,22.05,25.18,68.3,20.53,0.63,244.77,SW
2022-06-19 00:00:00,18.7,26.64,68.53,20.18,0.98,266.37,W
2022-06-19 01:00:00,16.84,26.22,69.4,19.6,0.59,237.0,SW
2022-06-19 02:00:00,22.45,20.18,72.53,18.53,0.95,254.12,W
2022-06-19 03:00:00,21.27,20.19,74.28,17.9,1.0,242.8,SW
2022-06-19 04:00:00,30.76,16.31,75.15,17.85,0.81,249.17,W
2022-06-19 05:00:00,33.77,6.34,74.48,19.98,0.63,260.7,W
2022-06-19 06:00:00,23.04,11.44,64.78,24.18,0.7,237.1,SW
2022-06-19 07:00:00,16.55,21.36,60.8,25.85,0.61,192.3,S
2022-06-19 08:00:00,10.15,24.75,57.9,26.15,1.01,52.3,NE
2022-06-19 09:00:00,5.64,33.24,38.65,28.63,2.29,65.52,NE
2022-06-19 10:00:00,5.86,41.1,35.15,29.8,3.06,110.43,E
2022-06-19 11:00:00,7.76,44.14,33.1,30.88,4.54,239.07,SW
2022-06-19 12:00:00,11.66,49.62,31.5,31.68,3.93,247.12,SW
2022-06-19 13:00:00,12.76,51.73,33.98,30.9,4.05,247.32,SW
2022-06-19 14:00:00,21.56,57.3,38.38,30.23,2.75,163.48,S
2022-06-19 15:00:00,24.09,53.31,41.65,28.5,3.04,57.67,NE
2022-06-19 16:00:00,25.02,51.59,42.7,28.18,4.44,45.5,NE
2022-06-19 17:00:00,24.06,48.61,43.9,27.63,4.78,42.57,NE
2022-06-19 18:00:00,22.73,44.89,41.68,26.88,4.36,62.78,NE
2022-06-19 19:00:00,29.84,37.2,44.3,25.55,3.73,56.4,NE
2022-06-19 20:00:00,42.17,29.49,46.9,23.9,2.07,130.08,SE
2022-06-19 21:00:00,39.95,28.63,48.9,22.95,1.76,254.63,W
2022-06-19 22:00:00,32.62,29.21,49.78,22.78,0.78,260.68,W
2022-06-19 23:00:00,30.69,27.84,50.43,22.4,1.16,246.07,SW
2022-06-20 00:00:00,32.47,24.67,54.73,21.98,1.14,242.42,SW
2022-06-20 01:00:00,19.18,28.8,56.1,21.55,0.52,233.2,SW
2022-06-20 02:00:00,31.76,20.99,59.05,21.23,1.01,246.6,SW
2022-06-20 03:00:00,31.7,19.29,62.4,20.53,0.62,216.35,SW
2022-06-20 04:00:00,52.81,9.83,65.48,20.45,0.45,215.2,CALM
2022-06-20 05:00:00,52.22,3.17,62.78,22.28,1.31,247.27,SW
2022-06-20 06:00:00,35.52,8.74,56.3,25.58,0.48,264.57,CALM
2022-06-20 07:00:00,33.17,11.84,58.88,26.75,0.33,281.7,CALM
2022-06-20 08:00:00,28.81,18.76,53.58,28.05,1.35,73.73,E
2022-06-20 09:00:00,11.05,32.29,43.85,29.88,1.76,72.75,E
2022-06-20 10:00:00,13.76,41.16,41.18,30.35,2.11,69.97,E
2022-06-20 11:00:00,18.72,43.61,42.5,30.68,2.25,69.28,E
2022-06-20 12:00:00,20.75,45.11,41.15,29.9,2.98,64.27,NE
2022-06-20 13:00:00,19.83,48.05,40.28,29.98,3.45,71.4,E
2022-06-20 14:00:00,26.45,49.95,43.58,29.85,5.62,76.8,E
2022-06-20 15:00:00,30.73,44.97,45.93,29.63,4.9,77.17,E
2022-06-20 16:00:00,28.28,43.44,44.03,29.7,5.12,77.68,E
2022-06-20 17:00:00,24.71,47.05,43.7,29.28,4.35,59.9,NE
2022-06-20 18:00:00,32.73,42.87,46.9,27.83,4.72,61.23,NE
2022-06-20 19:00:00,38.04,37.68,51.83,26.4,3.91,122.25,SE
2022-06-20 20:00:00,39.4,29.83,53.6,25.4,3.14,245.5,SW
2022-06-20 21:00:00,25.86,32.9,53.65,24.7,2.14,274.9,W
2022-06-20 22:00:00,26.73,31.31,53.45,24.08,1.12,262.83,W
2022-06-20 23:00:00,27.14,30.09,52.15,23.85,1.48,295.02,NW
2022-06-21 00:00:00,23.84,27.33,52.9,23.58,1.12,242.17,SW
2022-06-21 01:00:00,19.48,29.51,54.38,22.85,1.51,234.08,SW
2022-06-21 02:00:00,22.68,26.58,57.58,21.88,0.42,238.73,CALM
2022-06-21 03:00:00,40.19,17.82,61.48,21.08,1.14,241.22,SW
2022-06-21 04:00:00,61.48,10.8,63.9,20.85,0.59,247.83,W
2022-06-21 05:00:00,48.68,6.16,62.25,22.7,0.78,248.58,W
2022-06-21 06:00:00,33.99,14.01,60.28,25.8,0.25,245.3,CALM
2022-06-21 07:00:00,29.87,18.07,58.9,26.98,0.75,129.27,SE
2022-06-21 08:00:00,21.57,24.39,50.98,29.25,1.3,68.95,E
2022-06-21 09:00:00,20.04,38.47,46.98,30.5,1.8,63.28,NE
2022-06-21 10:00:00,17.57,47.58,44.65,32.7,2.09,82.8,E
2022-06-21 11:00:00,23.31,50.77,42.8,34.55,2.57,68.35,E
2022-06-21 12:00:00,23.74,57.01,39.55,35.45,2.16,72.2,E
2022-06-21 13:00:00,33.86,59.1,39.88,35.43,2.41,72.88,E
2022-06-21 14:00:00,21.27,54.45,36.53,35.93,3.13,81.6,E
2022-06-21 15:00:00,28.44,60.97,33.7,36.78,4.41,57.9,NE
2022-06-21 16:00:00,47.59,62.71,45.1,34.75,3.98,125.43,SE
2022-06-21 17:00:00,49.38,51.49,46.0,33.9,4.67,131.95,SE
2022-06-21 18:00:00,64.19,40.63,49.03,32.45,2.46,70.55,E
2022-06-21 19:00:00,74.44,28.71,49.93,31.08,1.6,61.48,NE
2022-06-21 20:00:00,67.99,26.42,52.58,29.53,1.79,261.9,W
2022-06-21 21:00:00,84.98,17.72,55.8,28.38,1.43,254.48,W
2022-06-21 22:00:00,76.57,17.08,58.48,27.28,0.98,258.42,W
2022-06-21 23:00:00,61.19,18.12,61.58,26.33,0.57,250.57,W
2022-06-22 00:00:00,51.88,16.08,64.38,25.75,0.79,244.53,SW
2022-06-22 01:00:00,45.0,13.13,66.65,25.5,0.41,276.18,CALM
2022-06-22 02:00:00,34.36,13.24,66.48,25.0,0.91,240.03,SW
2022-06-22 03:00:00,41.3,9.79,67.25,24.45,0.73,243.72,SW
2022-06-22 04:00:00,46.62,4.21,69.93,24.43,1.04,245.3,SW
2022-06-22 05:00:00,38.6,29.403,67.15,25.78,0.84,239.68,SW
2022-06-22 06:00:00,37.48,7.98,61.13,28.08,0.5,192.3,S
2022-06-22 07:00:00,33.6,14.69,57.38,30.13,0.86,148.92,SE
2022-06-22 08:00:00,25.52,35.86,52.35,32.38,1.84,68.07,E
2022-06-22 09:00:00,22.61,47.28,48.78,34.25,1.97,69.63,E
2022-06-22 10:00:00,22.63,55.65,44.88,35.78,2.53,73.45,E
2022-06-22 11:00:00,25.41,59.89,40.63,37.0,2.52,73.33,E
2022-06-22 12:00:00,32.42,65.88,38.38,37.8,2.19,74.35,E
2022-06-22 13:00:00,38.72,68.79,40.05,37.15,2.4,65.27,NE
2022-06-22 14:00:00,37.38,62.17,39.05,37.05,3.08,47.0,NE
2022-06-22 15:00:00,37.64,59.71,36.18,37.1,3.95,72.58,E
2022-06-22 16:00:00,44.87,54.73,37.33,36.33,2.94,57.68,NE
2022-06-22 17:00:00,57.34,56.59,44.58,34.5,2.72,72.25,E
2022-06-22 18:00:00,59.11,51.35,53.25,32.28,1.59,71.28,E
2022-06-22 19:00:00,84.7,32.09,56.35,31.33,2.39,63.35,NE
2022-06-22 20:00:00,76.41,30.39,61.6,30.1,1.14,102.2,E
2022-06-22 21:00:00,80.99,13.87,62.08,29.0,0.43,88.57,CALM
2022-06-22 22:00:00,63.59,12.7,61.53,28.35,0.76,143.33,SE
2022-06-22 23:00:00,30.93,23.05,58.33,28.3,0.94,269.47,W
2022-06-23 00:00:00,21.03,33.65,57.25,28.35,0.76,265.72,W
2022-06-23 01:00:00,20.44,32.02,57.18,28.0,0.54,223.83,SW
2022-06-23 02:00:00,18.63,34.28,56.08,27.83,0.55,196.85,S
2022-06-23 03:00:00,22.43,33.5,54.03,28.2,0.23,132.68,CALM
2022-06-23 04:00:00,61.49,19.39,61.2,27.65,1.71,198.13,S
2022-06-23 05:00:00,43.65,19.11,65.88,27.55,2.63,162.45,S
2022-06-23 06:00:00,35.05,21.37,62.38,29.0,0.54,129.0,SE
2022-06-23 07:00:00,35.3,21.73,58.88,30.53,1.04,127.38,SE
2022-06-23 08:00:00,29.75,30.94,51.28,32.85,1.64,71.48,E
2022-06-23 09:00:00,30.59,42.64,47.1,34.78,1.6,73.48,E
2022-06-23 10:00:00,32.18,53.18,43.85,35.93,2.04,60.5,NE
