,windspeed,direction,wind direction,frequency
2022-05-13 12:00:00,1.46,68.0,E,0.26794871794871794
2022-05-13 13:00:00,2.98,72.62,E,0.26794871794871794
2022-05-13 14:00:00,5.81,71.18,E,0.26794871794871794
2022-05-13 15:00:00,6.98,57.97,NE,0.15
2022-05-13 16:00:00,6.23,56.73,NE,0.15
2022-05-13 17:00:00,5.65,52.05,NE,0.15
2022-05-13 18:00:00,5.29,53.52,NE,0.15
2022-05-13 19:00:00,4.09,65.13,NE,0.15
2022-05-13 20:00:00,2.02,206.38,SW,0.21987179487179487
2022-05-13 21:00:00,1.08,184.17,S,0.1064102564102564
2022-05-13 22:00:00,0.92,131.65,SE,0.0782051282051282
2022-05-13 23:00:00,1.76,111.63,E,0.26794871794871794
2022-05-14 00:00:00,0.92,107.68,E,0.26794871794871794
2022-05-14 01:00:00,0.95,191.03,S,0.1064102564102564
2022-05-14 02:00:00,0.45,263.72,W,0.1685897435897436
2022-05-14 03:00:00,0.13,244.0,SW,0.21987179487179487
2022-05-14 04:00:00,0.36,244.0,SW,0.21987179487179487
2022-05-14 05:00:00,0.62,250.87,W,0.1685897435897436
2022-05-14 06:00:00,0.84,253.83,W,0.1685897435897436
2022-05-14 07:00:00,0.65,249.87,W,0.1685897435897436
2022-05-14 08:00:00,1.14,113.77,SE,0.0782051282051282
2022-05-14 09:00:00,1.71,64.63,NE,0.15
2022-05-14 10:00:00,1.89,71.85,E,0.26794871794871794
2022-05-14 11:00:00,2.51,60.62,NE,0.15
2022-05-14 12:00:00,2.91,69.22,E,0.26794871794871794
2022-05-14 13:00:00,3.46,73.27,E,0.26794871794871794
2022-05-14 14:00:00,4.11,74.73,E,0.26794871794871794
2022-05-14 15:00:00,3.34,83.75,E,0.26794871794871794
2022-05-14 16:00:00,4.83,74.45,E,0.26794871794871794
2022-05-14 17:00:00,2.6,171.78,S,0.1064102564102564
2022-05-14 18:00:00,0.57,256.47,W,0.1685897435897436
2022-05-14 19:00:00,0.5,194.43,S,0.1064102564102564
2022-05-14 20:00:00,0.91,214.17,SW,0.21987179487179487
2022-05-14 21:00:00,1.2,251.95,W,0.1685897435897436
2022-05-14 22:00:00,0.61,261.52,W,0.1685897435897436
2022-05-14 23:00:00,0.48,250.02,W,0.1685897435897436
2022-05-15 00:00:00,0.74,243.73,SW,0.21987179487179487
2022-05-15 01:00:00,0.9,254.0,W,0.1685897435897436
2022-05-15 02:00:00,0.57,244.83,SW,0.21987179487179487
2022-05-15 03:00:00,0.84,243.35,SW,0.21987179487179487
2022-05-15 04:00:00,1.23,241.83,SW,0.21987179487179487
2022-05-15 05:00:00,0.54,237.1,SW,0.21987179487179487
2022-05-15 06:00:00,0.72,239.5,SW,0.21987179487179487
2022-05-15 07:00:00,0.32,233.67,SW,0.21987179487179487
2022-05-15 08:00:00,1.41,134.78,SE,0.0782051282051282
2022-05-15 09:00:00,1.59,133.62,SE,0.0782051282051282
2022-05-15 10:00:00,1.91,137.43,SE,0.0782051282051282
2022-05-15 11:00:00,2.91,94.07,E,0.26794871794871794
2022-05-15 12:00:00,2.31,72.18,E,0.26794871794871794
2022-05-15 13:00:00,2.19,76.38,E,0.26794871794871794
2022-05-15 14:00:00,2.3,114.3,SE,0.0782051282051282
2022-05-15 15:00:00,3.71,56.6,NE,0.15
2022-05-15 16:00:00,4.06,50.32,NE,0.15
2022-05-15 17:00:00,4.49,54.93,NE,0.15
2022-05-15 18:00:00,3.76,73.58,E,0.26794871794871794
2022-05-15 19:00:00,3.09,242.5,SW,0.21987179487179487
2022-05-15 20:00:00,2.05,227.55,SW,0.21987179487179487
2022-05-15 21:00:00,1.14,217.48,SW,0.21987179487179487
2022-05-15 22:00:00,0.89,270.45,W,0.1685897435897436
2022-05-15 23:00:00,0.89,233.8,SW,0.21987179487179487
2022-05-16 00:00:00,0.43,269.88,W,0.1685897435897436
2022-05-16 01:00:00,0.77,241.98,SW,0.21987179487179487
2022-05-16 02:00:00,0.52,248.25,W,0.1685897435897436
2022-05-16 03:00:00,0.51,254.47,W,0.1685897435897436
2022-05-16 04:00:00,0.78,243.92,SW,0.21987179487179487
2022-05-16 05:00:00,0.62,244.15,SW,0.21987179487179487
2022-05-16 06:00:00,0.34,239.85,SW,0.21987179487179487
2022-05-16 07:00:00,0.69,187.4,S,0.1064102564102564
2022-05-16 08:00:00,0.98,53.68,NE,0.15
2022-05-16 09:00:00,1.74,66.12,NE,0.15
2022-05-16 10:00:00,1.88,68.18,E,0.26794871794871794
2022-05-16 11:00:00,2.26,63.2,NE,0.15
2022-05-16 12:00:00,2.67,67.9,E,0.26794871794871794
2022-05-16 13:00:00,3.11,77.92,E,0.26794871794871794
2022-05-16 14:00:00,4.65,51.95,NE,0.15
2022-05-16 15:00:00,4.67,66.0,NE,0.15
2022-05-16 16:00:00,5.73,67.52,E,0.26794871794871794
2022-05-16 17:00:00,5.5,74.38,E,0.26794871794871794
2022-05-16 18:00:00,3.92,77.32,E,0.26794871794871794
2022-05-16 19:00:00,3.17,167.43,S,0.1064102564102564
2022-05-16 20:00:00,2.32,230.72,SW,0.21987179487179487
2022-05-16 21:00:00,0.99,247.3,SW,0.21987179487179487
2022-05-16 22:00:00,0.69,236.72,SW,0.21987179487179487
2022-05-16 23:00:00,0.7,245.65,SW,0.21987179487179487
2022-05-17 00:00:00,1.07,268.18,W,0.1685897435897436
2022-05-17 01:00:00,0.91,254.98,W,0.1685897435897436
2022-05-17 02:00:00,0.49,242.13,SW,0.21987179487179487
2022-05-17 03:00:00,0.21,242.35,SW,0.21987179487179487
2022-05-17 04:00:00,0.32,245.68,SW,0.21987179487179487
2022-05-17 05:00:00,0.16,251.0,W,0.1685897435897436
2022-05-17 06:00:00,0.18,251.0,W,0.1685897435897436
2022-05-17 07:00:00,0.23,239.27,SW,0.21987179487179487
2022-05-17 08:00:00,0.88,76.02,E,0.26794871794871794
2022-05-17 09:00:00,1.98,79.8,E,0.26794871794871794
2022-05-17 10:00:00,1.95,70.7,E,0.26794871794871794
2022-05-17 11:00:00,2.17,72.98,E,0.26794871794871794
2022-05-17 12:00:00,2.64,71.8,E,0.26794871794871794
2022-05-17 13:00:00,3.19,61.85,NE,0.15
2022-05-17 14:00:00,2.62,79.68,E,0.26794871794871794
2022-05-17 15:00:00,2.91,84.68,E,0.26794871794871794
2022-05-17 16:00:00,6.14,70.48,E,0.26794871794871794
2022-05-17 17:00:00,4.43,87.5,E,0.26794871794871794
2022-05-17 18:00:00,3.92,178.45,S,0.1064102564102564
2022-05-17 19:00:00,3.33,199.07,S,0.1064102564102564
2022-05-17 20:00:00,1.64,178.03,S,0.1064102564102564
2022-05-17 21:00:00,0.99,269.93,W,0.1685897435897436
2022-05-17 22:00:00,1.07,153.53,SE,0.0782051282051282
2022-05-17 23:00:00,0.72,150.28,SE,0.0782051282051282
2022-05-18 00:00:00,0.76,140.7,SE,0.0782051282051282
2022-05-18 01:00:00,0.52,164.42,S,0.1064102564102564
2022-05-18 02:00:00,0.61,271.8,W,0.1685897435897436
2022-05-18 03:00:00,0.3,184.1,S,0.1064102564102564
2022-05-18 04:00:00,0.83,267.87,W,0.1685897435897436
2022-05-18 05:00:00,0.49,245.2,SW,0.21987179487179487
2022-05-18 06:00:00,0.71,200.68,S,0.1064102564102564
2022-05-18 07:00:00,3.3,213.45,SW,0.21987179487179487
2022-05-18 08:00:00,2.51,176.03,S,0.1064102564102564
2022-05-18 09:00:00,2.49,187.25,S,0.1064102564102564
2022-05-18 10:00:00,3.93,205.18,SW,0.21987179487179487
2022-05-18 11:00:00,4.15,176.97,S,0.1064102564102564
2022-05-18 12:00:00,4.71,190.07,S,0.1064102564102564
2022-05-18 13:00:00,4.69,190.25,S,0.1064102564102564
2022-05-18 14:00:00,4.65,185.18,S,0.1064102564102564
2022-05-18 15:00:00,5.67,196.85,S,0.1064102564102564
2022-05-18 16:00:00,5.98,180.07,S,0.1064102564102564
2022-05-18 17:00:00,5.53,194.53,S,0.1064102564102564
2022-05-18 18:00:00,4.99,211.15,SW,0.21987179487179487
2022-05-18 19:00:00,4.75,218.72,SW,0.21987179487179487
2022-05-18 20:00:00,6.44,230.42,SW,0.21987179487179487
2022-05-18 21:00:00,6.31,246.83,SW,0.21987179487179487
2022-05-18 22:00:00,4.42,285.92,W,0.1685897435897436
2022-05-18 23:00:00,4.88,297.23,NW,0.008974358974358974
2022-05-19 00:00:00,4.96,225.55,SW,0.21987179487179487
2022-05-19 01:00:00,1.88,232.03,SW,0.21987179487179487
2022-05-19 02:00:00,2.22,234.7,SW,0.21987179487179487
2022-05-19 03:00:00,1.13,246.03,SW,0.21987179487179487
2022-05-19 04:00:00,1.35,255.85,W,0.1685897435897436
2022-05-19 05:00:00,2.22,249.93,W,0.1685897435897436
2022-05-19 06:00:00,0.65,238.75,SW,0.21987179487179487
2022-05-19 07:00:00,1.51,214.77,SW,0.21987179487179487
2022-05-19 08:00:00,1.65,168.18,S,0.1064102564102564
2022-05-19 09:00:00,1.72,124.1,SE,0.0782051282051282
2022-05-19 10:00:00,3.86,87.12,E,0.26794871794871794
2022-05-19 11:00:00,4.36,68.47,E,0.26794871794871794
2022-05-19 12:00:00,4.11,79.38,E,0.26794871794871794
2022-05-19 13:00:00,4.52,71.87,E,0.26794871794871794
2022-05-19 14:00:00,4.87,74.33,E,0.26794871794871794
2022-05-19 15:00:00,6.19,67.42,NE,0.15
2022-05-19 16:00:00,6.08,56.9,NE,0.15
2022-05-19 17:00:00,5.2,52.53,NE,0.15
2022-05-19 18:00:00,4.1,103.3,E,0.26794871794871794
2022-05-19 19:00:00,3.37,193.98,S,0.1064102564102564
2022-05-19 20:00:00,3.11,298.98,NW,0.008974358974358974
2022-05-19 21:00:00,1.54,241.62,SW,0.21987179487179487
2022-05-19 22:00:00,0.87,231.73,SW,0.21987179487179487
2022-05-19 23:00:00,0.57,243.48,SW,0.21987179487179487
2022-05-20 00:00:00,0.49,204.83,SW,0.21987179487179487
2022-05-20 01:00:00,0.24,236.93,SW,0.21987179487179487
2022-05-20 02:00:00,0.41,276.9,W,0.1685897435897436
2022-05-20 03:00:00,0.78,265.93,W,0.1685897435897436
2022-05-20 04:00:00,0.5,265.62,W,0.1685897435897436
2022-05-20 05:00:00,1.13,249.77,W,0.1685897435897436
2022-05-20 06:00:00,0.54,289.5,W,0.1685897435897436
2022-05-20 07:00:00,0.95,159.45,S,0.1064102564102564
2022-05-20 08:00:00,1.92,72.02,E,0.26794871794871794
2022-05-20 09:00:00,1.66,71.2,E,0.26794871794871794
2022-05-20 10:00:00,2.67,64.43,NE,0.15
2022-05-20 11:00:00,4.01,68.8,E,0.26794871794871794
2022-05-20 12:00:00,4.22,73.63,E,0.26794871794871794
2022-05-20 13:00:00,5.22,63.28,NE,0.15
2022-05-20 14:00:00,5.81,71.45,E,0.26794871794871794
2022-05-20 15:00:00,5.16,70.63,E,0.26794871794871794
2022-05-20 16:00:00,4.91,73.38,E,0.26794871794871794
2022-05-20 17:00:00,3.84,43.97,NE,0.15
2022-05-20 18:00:00,3.09,99.03,E,0.26794871794871794
2022-05-20 19:00:00,2.51,105.02,E,0.26794871794871794
2022-05-20 20:00:00,2.47,251.32,W,0.1685897435897436
2022-05-20 21:00:00,1.5,245.3,SW,0.21987179487179487
2022-05-20 22:00:00,0.56,244.9,SW,0.21987179487179487
2022-05-20 23:00:00,0.57,266.88,W,0.1685897435897436
2022-05-21 00:00:00,0.76,255.7,W,0.1685897435897436
2022-05-21 01:00:00,0.55,241.05,SW,0.21987179487179487
2022-05-21 02:00:00,0.85,249.1,W,0.1685897435897436
2022-05-21 03:00:00,0.48,273.85,W,0.1685897435897436
2022-05-21 04:00:00,0.99,242.55,SW,0.21987179487179487
2022-05-21 05:00:00,0.86,242.95,SW,0.21987179487179487
2022-05-21 06:00:00,1.15,244.25,SW,0.21987179487179487
2022-05-21 07:00:00,0.33,157.0,SE,0.0782051282051282
2022-05-21 08:00:00,1.5,71.52,E,0.26794871794871794
2022-05-21 09:00:00,1.39,57.42,NE,0.15
2022-05-21 10:00:00,1.71,65.3,NE,0.15
2022-05-21 11:00:00,1.91,62.45,NE,0.15
2022-05-21 12:00:00,2.14,81.92,E,0.26794871794871794
2022-05-21 13:00:00,2.44,70.85,E,0.26794871794871794
2022-05-21 14:00:00,3.4,64.2,NE,0.15
2022-05-21 15:00:00,3.58,68.97,E,0.26794871794871794
2022-05-21 16:00:00,4.18,69.7,E,0.26794871794871794
2022-05-21 17:00:00,4.35,71.32,E,0.26794871794871794
2022-05-21 18:00:00,2.74,79.63,E,0.26794871794871794
2022-05-21 19:00:00,3.26,75.27,E,0.26794871794871794
2022-05-21 20:00:00,1.7,103.1,E,0.26794871794871794
2022-05-21 21:00:00,0.72,217.82,SW,0.21987179487179487
2022-05-21 22:00:00,1.06,270.12,W,0.1685897435897436
2022-05-21 23:00:00,0.46,267.63,W,0.1685897435897436
2022-05-22 00:00:00,0.36,253.92,W,0.1685897435897436
2022-05-22 01:00:00,0.73,248.95,W,0.1685897435897436
2022-05-22 02:00:00,0.61,242.05,SW,0.21987179487179487
2022-05-22 03:00:00,0.6,240.08,SW,0.21987179487179487
2022-05-22 04:00:00,0.52,240.33,SW,0.21987179487179487
2022-05-22 05:00:00,0.67,241.77,SW,0.21987179487179487
2022-05-22 06:00:00,0.47,230.3,SW,0.21987179487179487
2022-05-22 07:00:00,0.88,140.87,SE,0.0782051282051282
2022-05-22 08:00:00,0.94,61.23,NE,0.15
2022-05-22 09:00:00,0.46,109.82,E,0.26794871794871794
2022-05-22 10:00:00,2.4,73.67,E,0.26794871794871794
2022-05-22 11:00:00,1.95,77.43,E,0.26794871794871794
2022-05-22 12:00:00,2.45,167.95,S,0.1064102564102564
2022-05-22 13:00:00,2.82,178.22,S,0.1064102564102564
2022-05-22 14:00:00,3.39,191.53,S,0.1064102564102564
2022-05-22 15:00:00,4.54,206.05,SW,0.21987179487179487
2022-05-22 16:00:00,2.47,194.33,S,0.1064102564102564
2022-05-22 17:00:00,2.21,191.0,S,0.1064102564102564
2022-05-22 18:00:00,1.7,193.82,S,0.1064102564102564
2022-05-22 19:00:00,2.24,167.2,S,0.1064102564102564
2022-05-22 20:00:00,2.08,282.95,W,0.1685897435897436
2022-05-22 21:00:00,2.77,244.45,SW,0.21987179487179487
2022-05-22 22:00:00,1.79,241.62,SW,0.21987179487179487
2022-05-22 23:00:00,3.79,224.18,SW,0.21987179487179487
2022-05-23 00:00:00,2.33,206.15,SW,0.21987179487179487
2022-05-23 01:00:00,1.4,192.88,S,0.1064102564102564
2022-05-23 02:00:00,4.57,219.3,SW,0.21987179487179487
2022-05-23 03:00:00,2.64,180.38,S,0.1064102564102564
2022-05-23 04:00:00,0.7,71.32,E,0.26794871794871794
2022-05-23 05:00:00,0.32,157.45,SE,0.0782051282051282
2022-05-23 06:00:00,0.37,161.85,S,0.1064102564102564
2022-05-23 07:00:00,1.09,161.3,S,0.1064102564102564
2022-05-23 08:00:00,1.09,70.65,E,0.26794871794871794
2022-05-23 09:00:00,1.55,82.35,E,0.26794871794871794
2022-05-23 10:00:00,1.74,71.85,E,0.26794871794871794
2022-05-23 11:00:00,1.98,68.0,E,0.26794871794871794
2022-05-23 12:00:00,3.04,71.98,E,0.26794871794871794
2022-05-23 13:00:00,3.08,83.33,E,0.26794871794871794
2022-05-23 14:00:00,2.82,67.72,E,0.26794871794871794
2022-05-23 15:00:00,3.1,152.73,SE,0.0782051282051282
2022-05-23 16:00:00,5.35,223.23,SW,0.21987179487179487
2022-05-23 17:00:00,2.9,227.25,SW,0.21987179487179487
2022-05-23 18:00:00,1.91,116.53,SE,0.0782051282051282
2022-05-23 19:00:00,0.55,132.92,SE,0.0782051282051282
2022-05-23 20:00:00,0.65,85.3,E,0.26794871794871794
2022-05-23 21:00:00,0.68,158.43,S,0.1064102564102564
2022-05-23 22:00:00,1.01,251.95,W,0.1685897435897436
2022-05-23 23:00:00,0.67,251.88,W,0.1685897435897436
2022-05-24 00:00:00,0.18,239.0,SW,0.21987179487179487
2022-05-24 01:00:00,0.78,242.2,SW,0.21987179487179487
2022-05-24 02:00:00,0.58,253.6,W,0.1685897435897436
2022-05-24 03:00:00,0.72,240.18,SW,0.21987179487179487
2022-05-24 04:00:00,0.75,239.17,SW,0.21987179487179487
2022-05-24 05:00:00,0.75,247.07,SW,0.21987179487179487
2022-05-24 06:00:00,0.24,240.0,SW,0.21987179487179487
2022-05-24 07:00:00,0.55,254.6,W,0.1685897435897436
2022-05-24 08:00:00,1.3,69.25,E,0.26794871794871794
2022-05-24 09:00:00,1.51,75.0,E,0.26794871794871794
2022-05-24 10:00:00,2.99,73.68,E,0.26794871794871794
2022-05-24 11:00:00,3.27,62.9,NE,0.15
2022-05-24 12:00:00,2.73,63.83,NE,0.15
2022-05-24 13:00:00,4.58,74.78,E,0.26794871794871794
2022-05-24 14:00:00,4.16,68.93,E,0.26794871794871794
2022-05-24 15:00:00,4.31,84.05,E,0.26794871794871794
2022-05-24 16:00:00,4.28,67.98,E,0.26794871794871794
2022-05-24 17:00:00,3.95,76.4,E,0.26794871794871794
2022-05-24 18:00:00,4.89,65.23,NE,0.15
2022-05-24 19:00:00,3.37,53.33,NE,0.15
2022-05-24 20:00:00,2.4,94.03,E,0.26794871794871794
2022-05-24 21:00:00,4.04,229.28,SW,0.21987179487179487
2022-05-24 22:00:00,1.96,155.95,SE,0.0782051282051282
2022-05-24 23:00:00,0.75,126.93,SE,0.0782051282051282
2022-05-25 00:00:00,0.64,164.62,S,0.1064102564102564
2022-05-25 01:00:00,0.64,162.08,S,0.1064102564102564
2022-05-25 02:00:00,1.17,239.43,SW,0.21987179487179487
2022-05-25 03:00:00,0.29,235.28,SW,0.21987179487179487
2022-05-25 04:00:00,0.44,242.1,SW,0.21987179487179487
2022-05-25 05:00:00,0.58,247.85,W,0.1685897435897436
2022-05-25 06:00:00,0.22,254.73,W,0.1685897435897436
2022-05-25 07:00:00,0.36,288.17,W,0.1685897435897436
2022-05-25 08:00:00,0.7,67.87,E,0.26794871794871794
2022-05-25 09:00:00,1.34,63.82,NE,0.15
2022-05-25 10:00:00,2.54,68.18,E,0.26794871794871794
2022-05-25 11:00:00,2.94,71.27,E,0.26794871794871794
2022-05-25 12:00:00,2.25,81.43,E,0.26794871794871794
2022-05-25 13:00:00,2.66,84.72,E,0.26794871794871794
2022-05-25 14:00:00,4.97,78.97,E,0.26794871794871794
2022-05-25 15:00:00,4.0,71.15,E,0.26794871794871794
2022-05-25 16:00:00,3.12,83.08,E,0.26794871794871794
2022-05-25 17:00:00,3.05,85.35,E,0.26794871794871794
2022-05-25 18:00:00,3.15,90.02,E,0.26794871794871794
2022-05-25 19:00:00,2.88,77.13,E,0.26794871794871794
2022-05-25 20:00:00,2.32,158.33,S,0.1064102564102564
2022-05-25 21:00:00,1.17,221.45,SW,0.21987179487179487
2022-05-25 22:00:00,1.57,211.32,SW,0.21987179487179487
2022-05-25 23:00:00,3.05,198.48,S,0.1064102564102564
2022-05-26 00:00:00,2.36,93.83,E,0.26794871794871794
2022-05-26 01:00:00,1.44,215.22,SW,0.21987179487179487
2022-05-26 02:00:00,0.41,257.33,W,0.1685897435897436
2022-05-26 03:00:00,0.61,246.37,SW,0.21987179487179487
2022-05-26 04:00:00,0.48,242.28,SW,0.21987179487179487
2022-05-26 05:00:00,0.8,242.37,SW,0.21987179487179487
2022-05-26 06:00:00,0.82,245.0,SW,0.21987179487179487
2022-05-26 07:00:00,0.41,236.47,SW,0.21987179487179487
2022-05-26 08:00:00,1.27,73.85,E,0.26794871794871794
2022-05-26 09:00:00,1.99,72.9,E,0.26794871794871794
2022-05-26 10:00:00,1.95,74.58,E,0.26794871794871794
2022-05-26 11:00:00,1.88,81.45,E,0.26794871794871794
2022-05-26 12:00:00,1.57,78.23,E,0.26794871794871794
2022-05-26 13:00:00,3.47,68.55,E,0.26794871794871794
2022-05-26 14:00:00,4.59,75.02,E,0.26794871794871794
2022-05-26 15:00:00,2.86,82.25,E,0.26794871794871794
2022-05-26 16:00:00,2.5,70.83,E,0.26794871794871794
2022-05-26 17:00:00,2.44,73.98,E,0.26794871794871794
2022-05-26 18:00:00,2.18,90.73,E,0.26794871794871794
2022-05-26 19:00:00,1.91,100.18,E,0.26794871794871794
2022-05-26 20:00:00,1.4,91.18,E,0.26794871794871794
2022-05-26 21:00:00,0.96,92.45,E,0.26794871794871794
2022-05-26 22:00:00,0.7,190.2,S,0.1064102564102564
2022-05-26 23:00:00,0.42,239.78,SW,0.21987179487179487
2022-05-27 00:00:00,0.58,256.83,W,0.1685897435897436
2022-05-27 01:00:00,0.66,241.67,SW,0.21987179487179487
2022-05-27 02:00:00,0.77,188.52,S,0.1064102564102564
2022-05-27 03:00:00,0.93,218.85,SW,0.21987179487179487
2022-05-27 04:00:00,1.09,257.78,W,0.1685897435897436
2022-05-27 05:00:00,0.88,260.9,W,0.1685897435897436
2022-05-27 06:00:00,0.44,260.57,W,0.1685897435897436
2022-05-27 07:00:00,0.73,262.98,W,0.1685897435897436
2022-05-27 08:00:00,1.11,65.38,NE,0.15
2022-05-27 09:00:00,1.73,66.48,NE,0.15
2022-05-27 10:00:00,1.78,55.85,NE,0.15
2022-05-27 11:00:00,2.05,73.77,E,0.26794871794871794
2022-05-27 12:00:00,2.08,85.5,E,0.26794871794871794
2022-05-27 13:00:00,2.78,67.92,E,0.26794871794871794
2022-05-27 14:00:00,3.8,71.02,E,0.26794871794871794
2022-05-27 15:00:00,3.69,79.08,E,0.26794871794871794
2022-05-27 16:00:00,4.52,72.93,E,0.26794871794871794
2022-05-27 17:00:00,5.73,65.53,NE,0.15
2022-05-27 18:00:00,6.36,63.2,NE,0.15
2022-05-27 19:00:00,4.94,69.7,E,0.26794871794871794
2022-05-27 20:00:00,1.72,102.4,E,0.26794871794871794
2022-05-27 21:00:00,0.57,181.62,S,0.1064102564102564
2022-05-27 22:00:00,3.21,182.62,S,0.1064102564102564
2022-05-27 23:00:00,1.54,58.45,NE,0.15
2022-05-28 00:00:00,1.35,93.42,E,0.26794871794871794
2022-05-28 01:00:00,0.74,83.2,E,0.26794871794871794
2022-05-28 02:00:00,0.67,154.07,SE,0.0782051282051282
2022-05-28 03:00:00,0.6,272.85,W,0.1685897435897436
2022-05-28 04:00:00,0.16,306.87,NW,0.008974358974358974
2022-05-28 05:00:00,0.46,251.5,W,0.1685897435897436
2022-05-28 06:00:00,0.6,238.33,SW,0.21987179487179487
2022-05-28 07:00:00,0.61,186.15,S,0.1064102564102564
2022-05-28 08:00:00,1.36,73.73,E,0.26794871794871794
2022-05-28 09:00:00,2.33,64.58,NE,0.15
2022-05-28 10:00:00,1.94,77.52,E,0.26794871794871794
2022-05-28 11:00:00,1.97,78.12,E,0.26794871794871794
2022-05-28 12:00:00,2.75,69.1,E,0.26794871794871794
2022-05-28 13:00:00,3.56,64.82,NE,0.15
2022-05-28 14:00:00,2.69,70.07,E,0.26794871794871794
2022-05-28 15:00:00,4.13,76.95,E,0.26794871794871794
2022-05-28 16:00:00,2.16,78.35,E,0.26794871794871794
2022-05-28 17:00:00,2.7,67.27,NE,0.15
2022-05-28 18:00:00,1.98,100.07,E,0.26794871794871794
2022-05-28 19:00:00,2.08,88.52,E,0.26794871794871794
2022-05-28 20:00:00,2.05,82.38,E,0.26794871794871794
2022-05-28 21:00:00,1.5,81.43,E,0.26794871794871794
2022-05-28 22:00:00,1.62,84.93,E,0.26794871794871794
2022-05-28 23:00:00,0.65,102.08,E,0.26794871794871794
2022-05-29 00:00:00,0.71,206.27,SW,0.21987179487179487
2022-05-29 01:00:00,0.86,271.58,W,0.1685897435897436
2022-05-29 02:00:00,0.36,232.72,SW,0.21987179487179487
2022-05-29 03:00:00,1.2,165.37,S,0.1064102564102564
2022-05-29 04:00:00,1.75,80.8,E,0.26794871794871794
2022-05-29 05:00:00,0.7,231.63,SW,0.21987179487179487
2022-05-29 06:00:00,0.71,245.95,SW,0.21987179487179487
2022-05-29 07:00:00,1.14,291.37,W,0.1685897435897436
2022-05-29 08:00:00,1.58,81.57,E,0.26794871794871794
2022-05-29 09:00:00,2.81,69.67,E,0.26794871794871794
2022-05-29 10:00:00,2.67,64.45,NE,0.15
2022-05-29 11:00:00,3.63,65.02,NE,0.15
2022-05-29 12:00:00,4.37,69.3,E,0.26794871794871794
